title_norm,film,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,Overview,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
catch me if you can,Catch Me If You Can,2002.0,141,8.1,832846,164615351,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
amores perros,Amores perros,2000.0,154,8.1,223741,5383834,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
monsters inc,"Monsters, Inc.",2001.0,92,8.1,815505,289916256,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
lagaan once upon a time in india,Lagaan: Once Upon a Time in India,2001.0,224,8.1,105036,70147,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
the sixth sense,The Sixth Sense,1999.0,107,8.1,911573,293506292,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
la leggenda del pianista sull oceano,La leggenda del pianista sull'oceano,1998.0,169,8.1,59020,259127,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
the truman show,The Truman Show,1998.0,103,8.1,939631,125618201,An insurance salesman discovers his whole life is actually a reality TV show.,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
crna macka beli macor,"Crna macka, beli macor",1998.0,127,8.1,50862,348660,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
the big lebowski,The Big Lebowski,1998.0,117,8.1,732620,17498804,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
fa yeung nin wah,Fa yeung nin wah,2000.0,98,8.1,124383,2734044,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
trainspotting,Trainspotting,1996.0,93,8.1,634716,16501785,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fargo,Fargo,1996.0,98,8.1,617444,24611975,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
before sunrise,Before Sunrise,1995.0,101,8.1,272291,5535405,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
trois couleurs rouge,Trois couleurs: Rouge,1994.0,99,8.1,90729,4043686,A model discovers a retired judge is keen on invading people's privacy.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
chung hing sam lam,Chung Hing sam lam,1994.0,102,8.1,63122,600200,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
jurassic park,Jurassic Park,1993.0,127,8.1,867615,402453882,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
in the name of the father,In the Name of the Father,1993.0,133,8.1,156842,25010410,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dead poets society,Dead Poets Society,1989.0,128,8.1,425457,95860116,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
stand by me,Stand by Me,1986.0,89,8.1,363401,52287414,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
platoon,Platoon,1986.0,120,8.1,381222,138530565,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
paris texas,"Paris, Texas",1984.0,145,8.1,91188,2181987,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
kaze no tani no naushika,Kaze no tani no Naushika,1984.0,117,8.1,150924,495770,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
the thing,The Thing,1982.0,109,8.1,371271,13782838,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
pink floyd the wall,Pink Floyd: The Wall,1982.0,95,8.1,76081,22244207,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
fanny och alexander,Fanny och Alexander,1982.0,188,8.1,57784,4971340,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
blade runner,Blade Runner,1982.0,117,8.1,693827,32868943,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
life of brian,Life of Brian,1979.0,94,8.1,367250,20045115,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the deer hunter,The Deer Hunter,1978.0,183,8.1,311361,48979328,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
rocky,Rocky,1976.0,120,8.1,518546,117235247,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
chinatown,Chinatown,1974.0,130,8.1,294230,29000000,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
paper moon,Paper Moon,1973.0,102,8.1,42285,30933743,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cool hand luke,Cool Hand Luke,1967.0,127,8.1,161984,16217773,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
what ever happened to baby jane,What Ever Happened to Baby Jane?,1962.0,134,8.1,50058,4050000,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
ben hur,Ben-Hur,1959.0,212,8.1,219466,74700000,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
the bridge on the river kwai,The Bridge on the River Kwai,1957.0,161,8.1,203463,44908000,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
on the waterfront,On the Waterfront,1954.0,108,8.1,142107,9600000,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ace in the hole,Ace in the Hole,1951.0,111,8.1,31568,3969893,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
the third man,The Third Man,1949.0,104,8.1,158731,449191,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
rebecca,Rebecca,1940.0,130,8.1,123942,4360000,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
mr smith goes to washington,Mr. Smith Goes to Washington,1939.0,129,8.1,107017,9600000,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gone with the wind,Gone with the Wind,1939.0,238,8.1,290074,198676459,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
it happened one night,It Happened One Night,1934.0,105,8.1,94016,4360000,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
la la land,La La Land,2016.0,128,8.0,505918,151101803,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
lion,Lion,2016.0,118,8.0,213970,51739495,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the martian,The Martian,2015.0,144,8.0,760094,228433663,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
zootopia,Zootopia,2016.0,108,8.0,434143,341268248,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
kaguyahime no monogatari,Kaguyahime no monogatari,2013.0,137,8.0,38746,1506975,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
wonder,Wonder,2017.0,113,8.0,141923,132422809,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
gully boy,Gully Boy,2019.0,154,8.0,31886,5566534,A coming-of-age story based on the lives of street rappers in Mumbai.,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
short term 12,Short Term 12,2013.0,96,8.0,81770,1010414,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
serbuan maut 2 berandal,Serbuan maut 2: Berandal,2014.0,150,8.0,114316,2625803,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
the imitation game,The Imitation Game,2014.0,114,8.0,685201,91125683,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
guardians of the galaxy,Guardians of the Galaxy,2014.0,121,8.0,1043455,333176600,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
blade runner 2049,Blade Runner 2049,2017.0,164,8.0,461823,92054159,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
her,Her,2013.0,126,8.0,540772,25568251,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
bohemian rhapsody,Bohemian Rhapsody,2018.0,134,8.0,450349,216428042,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
the revenant,The Revenant,2015.0,156,8.0,705589,183637894,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the perks of being a wallflower,The Perks of Being a Wallflower,2012.0,103,8.0,462252,17738570,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
the king s speech,The King's Speech,2010.0,118,8.0,639603,138797449,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
the help,The Help,2011.0,146,8.0,428521,169708112,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
deadpool,Deadpool,2016.0,108,8.0,902669,363070709,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
darbareye elly,Darbareye Elly,2009.0,119,8.0,45803,106662,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
my name is khan,My Name Is Khan,2010.0,165,8.0,98575,4018695,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
slumdog millionaire,Slumdog Millionaire,2008.0,120,8.0,798882,141319928,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
black swan,Black Swan,2010.0,108,8.0,699673,106954678,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tropa de elite,Tropa de Elite,2007.0,115,8.0,98097,8060,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the avengers,The Avengers,2012.0,143,8.0,1260806,623279547,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
persepolis,Persepolis,2007.0,96,8.0,88656,4445756,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dallas buyers club,Dallas Buyers Club,2013.0,117,8.0,441614,27298285,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the pursuit of happyness,The Pursuit of Happyness,2006.0,117,8.0,448930,163566459,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
blood diamond,Blood Diamond,2006.0,143,8.0,499439,57366262,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
the bourne ultimatum,The Bourne Ultimatum,2007.0,115,8.0,604694,227471070,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
bin jip,Bin-jip,2004.0,88,8.0,50610,238507,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
sin city,Sin City,2005.0,124,8.0,738512,74103820,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
le scaphandre et le papillon,Le scaphandre et le papillon,2007.0,112,8.0,103284,5990075,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ratatouille,Ratatouille,2007.0,111,8.0,641645,206445654,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
casino royale,Casino Royale,2006.0,144,8.0,582239,167445960,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
kill bill vol 2,Kill Bill: Vol. 2,2004.0,137,8.0,683900,66208183,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
bom yeoareum gaeul gyeoul geurigo bom,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003.0,103,8.0,77520,2380788,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
mar adentro,Mar adentro,2014.0,126,8.0,77554,2086345,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cinderella man,Cinderella Man,2005.0,144,8.0,176151,61649911,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
kal ho naa ho,Kal Ho Naa Ho,2003.0,186,8.0,63460,1787378,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
mou gaan dou,Mou gaan dou,2002.0,101,8.0,117857,169659,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pirates of the caribbean the curse of the black pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,143,8.0,1015122,305413918,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
big fish,Big Fish,2003.0,125,8.0,415218,66257002,A frustrated son tries to determine the fact from fiction in his dying father's life.,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
the incredibles,The Incredibles,2004.0,115,8.0,657047,261441092,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dogville,Dogville,2003.0,178,8.0,137963,1530386,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
donnie darko,Donnie Darko,2001.0,113,8.0,740086,1480006,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
magnolia,Magnolia,1999.0,188,8.0,289742,22455976,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dancer in the dark,Dancer in the Dark,2000.0,140,8.0,102285,4184036,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
the straight story,The Straight Story,1999.0,112,8.0,82002,6203044,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
festen,Festen,1998.0,105,8.0,78341,1647780,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
central do brasil,Central do Brasil,1998.0,110,8.0,36419,5595428,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the iron giant,The Iron Giant,1999.0,86,8.0,172083,23159305,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sling blade,Sling Blade,1996.0,135,8.0,86838,24475416,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
secrets lies,Secrets & Lies,1996.0,136,8.0,37564,13417292,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
twelve monkeys,Twelve Monkeys,1995.0,129,8.0,578443,57141459,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
kokaku kidotai,Kôkaku Kidôtai,1995.0,83,8.0,129231,515905,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the nightmare before christmas,The Nightmare Before Christmas,1993.0,76,8.0,300208,75082668,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
groundhog day,Groundhog Day,1993.0,101,8.0,577991,70906973,A weatherman finds himself inexplicably living the same day over and over again.,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
bound by honor,Bound by Honor,1993.0,180,8.0,28825,4496583,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
scent of a woman,Scent of a Woman,1992.0,156,8.0,263918,63895607,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
aladdin,Aladdin,1992.0,90,8.0,373845,217350219,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
jfk,JFK,1991.0,189,8.0,142110,70405498,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
beauty and the beast,Beauty and the Beast,1991.0,84,8.0,417178,218967620,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
dances with wolves,Dances with Wolves,1990.0,181,8.0,240266,184208848,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
do the right thing,Do the Right Thing,1989.0,120,8.0,89429,27545445,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rain man,Rain Man,1988.0,133,8.0,473064,178800000,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the princess bride,The Princess Bride,1987.0,98,8.0,393899,30857814,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
der himmel uber berlin,Der Himmel über Berlin,1987.0,128,8.0,64722,3333969,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
au revoir les enfants,Au revoir les enfants,1987.0,104,8.0,31163,4542825,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
