budget,keywords,original_title,popularity,production_companies,production_countries,release_date,revenue,spoken_languages,status,tagline,title,vote_average,vote_count
75000000,"space marine, dystopia, alien planet, genetic engineering",Soldier,11.873856,"Impact Pictures, Jerry Weintraub Productions, Warner Bros., Morgan Creek Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-10-23,14567883,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Left for dead on a remote planet for obsolete machines and people, a fallen hero has one last battle to fight",Soldier,6.1,221
74000000,"assistant, aftercreditsstinger, duringcreditsstinger, evil mastermind, minions, 3d",Minions,875.581305,"Universal Pictures, Illumination Entertainment","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-17,1156730962,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Before Gru, they had a history of bad bosses",Minions,6.4,4571
82000000,"brothel, fantasy, asylum, reality, escape, robot, violence, inmate, alternative, imagination, lobotomy",Sucker Punch,39.127082,"Legendary Pictures, Warner Bros., Lennox House Films, Cruel and Unusual Films","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-03-24,89792502,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,You will be unprepared,Sucker Punch,5.9,1623
75000000,"ocean, extraterrestrial technology, space marine, paranoia, raumschiffabsturz, alien, psychologist, ocean floor, deepsea",Sphere,18.65988,"Punch Productions, Warner Bros., Baltimore Pictures, Constant c Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-02-13,13100000,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"A thousand feet beneath the sea, the blackest holes are in the mind...",Sphere,5.8,476
73000000,"island, bird, pig, talking animal, based on video game, anger management, 3d",The Angry Birds Movie,45.720894,"Columbia Pictures, Rovio Entertainment, Sony Pictures Imageworks (SPI), Rovio Mobile, Rovio Animation","[{""iso_3166_1"": ""FI"", ""name"": ""Finland""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-05-11,349779543,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Why so angry?,The Angry Birds Movie,5.9,1022
70000000,"helicopter, cemetery, boat, mexican standoff, sword, cave, shipwreck, yacht, bahamas, jet ski, treasure hunt, rivalry, scuba diving, gangster, underwater, divorce, heiress, ex-husband ex-wife relationship, henchmen",Fool's Gold,21.789615,"De Line Pictures, Warner Bros.","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-02-07,111231041,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,This February True Love Takes a Dive.,Fool's Gold,5.4,444
75000000,"comedian, cancer, bromance, stand-up comedian",Funny People,20.199057,"Columbia Pictures, Universal Pictures, Happy Madison Productions, Relativity Media, Apatow Productions, Madison 23","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-07-31,61458982,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"George Simmons was prepared to die, but then a funny thing happened.",Funny People,5.7,390
70000000,"assassination, assassin, terrorist, explosive, fbi, chase, saudi arabia, investigation, police, medical examiner, terrorism, fbi agent, arab, bomb attack",The Kingdom,26.123705,"Universal Pictures, Forward Pass, Relativity Media, FilmWorks, MDBF Zweite Filmgesellschaft","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-08-22,86658558,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,How do you stop an enemy who isn't afraid to die?,The Kingdom,6.5,513
72500000,"north carolina, prayer, family dinner, advertising, divorce, motor, automobile racing, nascar, dog trainer, car movie, sport competition, psychosomatic illness, french stereotype, aftercreditsstinger, duringcreditsstinger",Talladega Nights: The Ballad of Ricky Bobby,12.599836,"Columbia Pictures, Apatow Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-08-04,162966177,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The story of a man who could only count to #1,Talladega Nights: The Ballad of Ricky Bobby,6.2,491
75000000,"father son relationship, lake, springfield, the simpsons, duff beer, garbage, pig, pollution, environmental protection agency, quarantine, alcoholism, love, alaska, dysfunctional family, dysfunctional marriage, ecology, saving lives, first love, duringcreditsstinger, donuts",The Simpsons Movie,46.875375,"Gracie Films, Twentieth Century Fox Film Corporation","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-07-25,527068851,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,See our family. And feel better about yours.,The Simpsons Movie,6.9,2264
150000000,"prison, magic, liberation, honeymoon, parents-in-law, kingdom, enchantment, dancing scene, transformation, fairy-tale figure",Shrek 2,47.320801,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-05-19,919838758,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Once upon another time...,Shrek 2,6.7,2988
120000000,"car race, car journey, village and town, auto, route 66, wrecker, porsche, retirement, media, friendship, sport, anthropomorphism, los angeles, road movie, aftercreditsstinger, duringcreditsstinger",Cars,82.643036,"Walt Disney Pictures, Pixar Animation Studios","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-06-08,461983149,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""yi"", ""name"": """"}]",Released,Ahhh... it's got that new movie smell.,Cars,6.6,3877
70000000,"sports car, biological weapon, cold war, russian, prague, mission, athlete, nsa agent, adrenaline junkie, thrill seeker",xXx,46.217769,"Columbia Pictures, Original Film, Revolution Studios","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-08-09,277448382,"[{""iso_639_1"": ""cs"", ""name"": ""\u010cesk\u00fd""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,A New Breed Of Secret Agent.,xXx,5.8,1424
74000000,"ocean, sea, star, water, comedy, sponge, spongebob, live action and animation",The SpongeBob Movie: Sponge Out of Water,36.952268,"Paramount Pictures, Nickelodeon Movies, Nickelodeon Animation Studios, United Plankton Pictures, Disruption Entertainment, Paramount Animation","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-02-05,311594032,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,He's leaving his world behind.,The SpongeBob Movie: Sponge Out of Water,5.8,719
70000000,"paris, guerrilla, cinema, self sacrifice, dynamite, mexican standoff, world war ii, jew persecution, jew, nazis, masochism, sadism, scalp, winston churchill, knife in hand, anti semitism, gore, swastika, blood bath, german occupation of france, violence, gun violence",Inglourious Basterds,72.595961,"Universal Pictures, A Band Apart, The Weinstein Company, Zehnte Babelsberg, Visiona Romantica","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-08-18,319131050,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Once upon a time in Nazi occupied France...,Inglourious Basterds,7.9,6430
80000000,"liberation, transport of prisoners, special unit, weapon, los angeles",S.W.A.T.,34.052253,"Original Film, Columbia Pictures Corporation, Camelot Pictures, Chris Lee Productions, Illusion Entertainment","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-08-08,116643346,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,You're either S.W.A.T. or you're not.,S.W.A.T.,5.8,770
70000000,"saving the world, predator, laserpointer, space marine, pyramid, praise, alien, xenomorph",AVP: Alien vs. Predator,42.957216,"Impact Pictures, Studio Babelsberg, Twentieth Century Fox Film Corporation, Davis Entertainment, Stillking Films, Brandywine Productions, Lonlink Productions, Kut Productions, Inside Track Films, Charenton Productions Limited, Revolution Sun Studios","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-08-12,171183863,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Whoever wins... We lose,AVP: Alien vs. Predator,5.5,1217
75000000,"chipmunk, cgi, based on tv series, aftercreditsstinger, duringcreditsstinger, woman director",Alvin and the Chipmunks: The Squeakquel,29.412262,"Regency Enterprises, Fox 2000 Pictures, Bagdasarian Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-12-21,443140005,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,The Boys are back in town... and they have competition.,Alvin and the Chipmunks: The Squeakquel,5.4,666
70000000,"saving the world, hero, marine corps, chaos, retirement, survivor, meteor, space invasion, alien, battlefield, survival, sergeant, los angeles, battle, danger, escapade, u.s. marine, heroic mission, evil alien, chaos and mayham",Battle: Los Angeles,49.199234,"Columbia Pictures, Original Film, Relativity Media","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-03-08,202466756,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's not war. It's survival.,Battle: Los Angeles,5.5,1448
66000000,"world war i, horse, farm life, execution, trapped, alcoholic, cavalry, plowing, artillery",War Horse,29.505574,"DreamWorks SKG, Amblin Entertainment, Reliance Entertainment, Kennedy/Marshall Company, The","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-12-25,177584879,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Separated by War. Tested by Battle. Bound by Friendship.,War Horse,7.0,992
70000000,"world war ii, nazis, art theft, post world war ii",The Monuments Men,43.873266,"Columbia Pictures, Studio Babelsberg, Fox 2000 Pictures, Smokehouse Pictures, Obelisk Productions","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-01-24,154984035,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,It was the greatest art heist in history,The Monuments Men,5.8,1523
70000000,duringcreditsstinger,Wall Street: Money Never Sleeps,23.25645,"Twentieth Century Fox Film Corporation, Dune Entertainment, Dune Entertainment III, Edward R. Pressman Film","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-09-02,134748021,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Gordon never gives up.,Wall Street: Money Never Sleeps,5.8,493
70000000,"witch, based on novel, new love, prince, beauty, star, kingdom, wall, falling star, royalty, unrequited love, good vs evil, fratricide",Stardust,48.032734,"Paramount Pictures, Ingenious Film Partners, Di Bonaventura Pictures, Marv Films, Vaughn Productions","[{""iso_3166_1"": ""IS"", ""name"": ""Iceland""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-08-09,135560026,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,This Summer A Star Falls. The Chase Begins.,Stardust,7.1,1184
70000000,"adultery, infidelity, secret, investigation, friendship, partner, love, friends, dilemma, cheating on partner, best friend",The Dilemma,14.780634,"Imagine Entertainment, Universal Pictures, Spyglass Entertainment, Wild West Picture Show Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-01-13,67112664,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Two best friends. Nothing could come between them... or could it?,The Dilemma,5.2,304
70000000,"vampire, daughter, hybrid, child vampire, werewolf, imax, lab experiment, werewolf child, fang vamp",Underworld: Awakening,58.401204,"Lakeshore Entertainment, Saturn Films, Screen Gems, Sketch Films, UW4 Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-01-19,160112671,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Vengeance Returns,Underworld: Awakening,6.1,1862
75000000,"musical, rocker, teenager, young love, rock sta",Rock of Ages,23.515938,"New Line Cinema, Offspring Entertainment, Corner Store Entertainment, Material Pictures","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-06-13,59418613,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,Nothin' but a good time,Rock of Ages,6.0,385
75000000,"cold, flu, lethal virus, construction worker",Osmosis Jones,10.54544,"Conundrum Entertainment, Warner Bros. Animation, Warner Bros.","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-08-07,13596911,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every BODY needs a hero,Osmosis Jones,5.9,228
70000000,,Legends of Oz: Dorothy's Return,6.682006,"Prana Animation Studios, Summertime Entertainment","[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-13,18662027,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There's trouble in OZ...,Legends of Oz: Dorothy's Return,5.9,43
70000000,"terrorist, technology, anti hero, hacker, computer virus, national security agency (nsa), race against time, computer, malaysia, nuclear power plant, suspense, betrayal, conspiracy, on the run, fugitive, shootout, hacking, terrorism, cat and mouse, one against many, computer hacker, no opening credits, terrorist plot, stock exchange, cybercrime, cyber terrorism, chinese military, cyber terrorist, cyber thriller",Blackhat,46.832372,"Universal Pictures, Forward Pass, Legendary Pictures","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-01-13,17752940,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,We are no longer in control.,Blackhat,5.1,826
70000000,"london england, himalaya, journalist, killer robot, computer war, robot",Sky Captain and the World of Tomorrow,24.664776,"Paramount Pictures, Natural Nylon Entertainment, Riff Raff Film Productions, Filmauro, Blue Flower Productions, Brooklyn Films II","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-09-17,57958696,"[{""iso_639_1"": ""bo"", ""name"": """"}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Who will save us?,Sky Captain and the World of Tomorrow,5.7,439
50000000,"prison, muslim, ship, mystery, science fiction, escape, crime, prison escape, cia agent",Escape Plan,44.478043,"Summit Entertainment, Atmosphere Entertainment MM, Emmett/Furla Films, Mark Canton Productions, Envision Entertainment, Boies / Schiller Film Group, Knightsbridge Entertainment","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-10-09,122915111,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""ur"", ""name"": ""\u0627\u0631\u062f\u0648""}]",Released,No one breaks out alone.,Escape Plan,6.7,1659
68000000,"cia, terrorist, atomic bomb, cold war, nuclear explosion, jack ryan",The Sum of All Fears,22.392544,"Paramount Pictures, Mace Neufeld Productions, MFP Munich Film Partners GmbH & Company I. Produktions KG, S.O.A.F. Productions, Mel's Cite du Cinema","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-05-31,193000000,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""uk"", ""name"": ""\u0423\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0438\u0439""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,"27,000 nuclear weapons. One is missing.",The Sum of All Fears,5.9,437
68000000,"vampire, graduation, bite, immortality, werewolf, fang vamp",The Twilight Saga: Eclipse,107.069763,"Summit Entertainment, Maverick Films, Imprint Entertainment, Sunswept Entertainment, Temple Hill Entertainment","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-06-23,698491347,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It all begins ... With a choice.,The Twilight Saga: Eclipse,5.8,2301
69000000,"adoptive father, orphanage, life's dream, rivalry, stealing, ballet, little girl, orphan, father daughter relationship, tomboy, mother son relationship, intelligent, kids, evil doctor, duringcreditsstinger, minions, supervillain, 3d, despicable, cattivissimo",Despicable Me,113.858273,"Universal Pictures, Illumination Entertainment","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-07-08,543513985,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Superbad. Superdad.,Despicable Me,7.1,6478
70000000,"christianity, philosophy, egypt, new love, war, cult, historical figure, history, sword fight, ancient world, destiny, fall in love, hypatia, misogyny, persecution, library of alexandria, political unrest, impossible love, false history, power relations, unfulfillment, master and servant, love and romance, unfulfilled love",Agora,18.888806,"Himenóptero, Telecinco Cinema, Mod Producciones, Nimar Studios, Canal+ España, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Government of Malta","[{""iso_3166_1"": ""ES"", ""name"": ""Spain""}]",2009-05-17,39041505,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Alexandria, Egypt. 391 A.D. The World Changed Forever.",Agora,6.9,395
36000000,"wife husband relationship, daydream, marriage, freedom, friends",Hall Pass,27.11589,"New Line Cinema, Conundrum Entertainment","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-02-25,83160734,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"One Week, No Rules",Hall Pass,5.4,611
80000000,"coast guard, based on true story, survival, rescue mission, storm at sea, sinking ship, 1950s, 3d",The Finest Hours,28.223664,"Walt Disney Pictures, Whitaker Entertainment, Bergsten Music, Red Hawk Entertainment","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-01-25,52099090,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"32 survivors, room for 12.",The Finest Hours,6.3,588
70000000,"terror, falsely accused, based on novel, dying and death, jordan, dubai, intelligence agency, beating",Body of Lies,37.507136,"Scott Free Productions, De Line Pictures, Warner Bros.","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2008-10-10,113280098,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Trust no one. Deceive everyone.,Body of Lies,6.5,895
69000000,"mouse, idiot, mind control, taxidermy, aftercreditsstinger, duringcreditsstinger",Dinner for Schmucks,11.023691,"Paramount Pictures, DreamWorks SKG, Spyglass Entertainment, Everyman Pictures, Reliance BIG Entertainment, Parkes/MacDonald Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-07-30,86387857,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Takes One To Know One.,Dinner for Schmucks,5.5,531
66000000,"london england, new year's eve, skyscraper, burglar, distrust, undercover, blackmail, nudity, thief, heist, older man younger woman relationship, art thief, criminal, art theft, millennium, manhattan, new york city, gala, kuala lumpur malaysia",Entrapment,25.877794,"Fountainbridge Films, Regency Enterprises","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-04-29,212404396,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The trap is set.,Entrapment,6.0,602
59000000,"human evolution, parents kids relationship, squirrel, ice, loss of child, mammoth, sloth, dying and death, stone age, prehistoric, saber-toothed tiger, cavemen, prehistoric creature, prehistoric adventure, prehistoric times, prehistoric man",Ice Age,99.561972,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-03-10,383257136,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,They came. They thawed. They conquered.,Ice Age,7.1,3857
68000000,religion and supernatural,Dreamcatcher,26.792794,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-03-21,75715436,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A circle of friendship. A web of mystery. A pattern of fear.,Dreamcatcher,5.3,567
63000000,"saving the world, artificial intelligence, man vs machine, philosophy, prophecy, martial arts, self sacrifice, fight, insurgence, virtual reality, dystopia, truth, cyberpunk, woman director, messiah, gnosticism",The Matrix,104.309993,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros.","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-03-30,463517383,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Welcome to the Real World.,The Matrix,7.9,8907
61000000,"france, robbery, brothel, mayor, star, musical, arrest, army, rebellion, wedding, falling in love, corpse, parole, convict, girl disguised as boy",Les Misérables,48.356214,"Universal Pictures, Relativity Media, CAMERON MACKINTOSH, Working Title Films","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-12-18,441809770,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fight. Dream. Hope. Love.,Les Misérables,7.1,1884
65000000,"romantic comedy, online dating, woman director",You've Got Mail,28.540267,Warner Bros.,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-12-17,250821495,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Someone you pass on the street may already be the love of your life.,You've Got Mail,6.3,838
65000000,"highway, slacker, hitchhiker, wallet, sunglasses, rest stop, vicodin, waffle",Due Date,43.865294,"Legendary Pictures, Green Hat Films, Warner Bros.","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-11-04,211780824,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Leave Your Comfort Zone,Due Date,6.2,1685
65000000,"world war ii, prisoners of war, biography, sport, war, athlete, woman director, olympic athlete",Unbroken,43.055253,"Legendary Pictures, 3 Arts Entertainment, Jolie Pas","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-12-25,163442937,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,Survival. Resilience. Redemption.,Unbroken,7.3,1400
65000000,"nasa, space travel, astronaut, elderly",Space Cowboys,15.772081,"Village Roadshow Pictures, Malpaso Productions, Mad Chance, Warner Bros., Clipsal Films, Digital Image Associates","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-07-31,128884132,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Space will never be the same.,Space Cowboys,6.3,403
65000000,"age difference, midlife crisis, suppressed past, self-awareness, childhood memory, humor, changing the past or future",The Kid,18.281798,Walt Disney Pictures,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-07-07,69700000,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Nobody ever grows up quite like they imagined.,The Kid,6.0,238
65000000,kurdish,The Dictator,31.349143,Paramount Pictures,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-05-15,179379533,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}]",Released,kurd,The Dictator,5.9,1743
65000000,"life and death, sexual obsession, free love, heterosexual, christmas party, eroticism, orgy, masked ball, marijuana, illegal prostitution",Eyes Wide Shut,27.870312,"Hobby Films, Pole Star, Stanley Kubrick Productions, Warner Bros.","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-07-14,162091208,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Cruise. Kidman. Kubrick.,Eyes Wide Shut,7.1,1234
50100000,"seduction, con man, femme fatale, deception, rivalry, con artist",Focus,59.634029,"Kramer & Sigman Films, RatPac-Dune Entertainment, Zaftig Films","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-02-25,153962963,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Never Drop The Con.,Focus,6.7,2542
65000000,"love triangle, friendship, dating, sushi bar, exploding airplane, online dating, stable, karate class, dog shelter",This Means War,38.994297,"Dune Entertainment, Overbrook Films, Robert Simonds Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-02-14,156974557,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's SPY Against SPY,This Means War,5.9,1389
65000000,"fbi, dracula, fistfight, vampire hunter, superhero, based on comic book, martial arts master, motorcycle, katana sword, blade, loss of friend, super villain, vampire slayer, fast motion scene, female vampire",Blade: Trinity,49.660055,"New Line Cinema, Amen Ra Films, Shawn Danielle Productions Ltd., Imaginary Forces, Marvel Enterprises, Peter Frankfurt Productions","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-12-08,128905366,"[{""iso_639_1"": ""eo"", ""name"": ""Esperanto""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The final hunt begins.,Blade: Trinity,5.7,1252
65000000,"mutant, dystopia, sequel, conspiracy, tokyo japan, zombie, based on video game, moscow, hand to hand combat, virus, plague, pandemic, mega corporation",Resident Evil: Retribution,6.227675,Davis-Films,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-09-12,240159255,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Ultimate Battle Begins,Resident Evil: Retribution,5.6,1600
