film,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,Overview,Director,Star1,Star2,Star3,Star4,Meta_score,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,oscar_nominations,oscar_wins,best_picture_nom,best_picture_win
Harry Potter and the Deathly Hallows: Part 2,2011.0,130,8.1,764493,381011219,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,85.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3,0,0,0
Okuribito,2008.0,130,8.1,48582,1498210,A newly unemployed cellist takes a job preparing the dead for funerals.,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,68.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0
How to Train Your Dragon,2010.0,98,8.1,666773,217581231,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,75.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,0,0
Into the Wild,2007.0,148,8.1,572921,18354356,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,73.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,0,0
No Country for Old Men,2007.0,122,8.1,856916,74283625,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,91.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8,4,1,1
Million Dollar Baby,2004.0,132,8.1,635975,100492203,A determined woman works with a hardened boxing trainer to become a professional.,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,86.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7,4,1,1
Hotel Rwanda,2004.0,121,8.1,334320,23530892,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,79.0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,0,0,0
Taegukgi hwinalrimyeo,2004.0,140,8.1,37820,1111061,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,64.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0
Before Sunset,2004.0,80,8.1,236311,5820649,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,90.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0,0,0
Salinui chueok,2003.0,131,8.1,139558,14131,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,82.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0
Kill Bill: Vol. 1,2003.0,111,8.1,1000639,70099045,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,69.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Finding Nemo,2003.0,100,8.1,949565,380843261,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,90.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,0,0
Catch Me If You Can,2002.0,141,8.1,832846,164615351,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,75.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,0,0
Amores perros,2000.0,154,8.1,223741,5383834,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,83.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0,0
"Monsters, Inc.",2001.0,92,8.1,815505,289916256,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,79.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,0,0
Lagaan: Once Upon a Time in India,2001.0,224,8.1,105036,70147,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,84.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0
The Sixth Sense,1999.0,107,8.1,911573,293506292,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,64.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,6,0,1,0
La leggenda del pianista sull'oceano,1998.0,169,8.1,59020,259127,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,58.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0,0,0,0
The Truman Show,1998.0,103,8.1,939631,125618201,An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,90.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0,0,0
"Crna macka, beli macor",1998.0,127,8.1,50862,348660,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini,73.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
The Big Lebowski,1998.0,117,8.1,732620,17498804,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,71.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0
Fa yeung nin wah,2000.0,98,8.1,124383,2734044,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung,85.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
Trainspotting,1996.0,93,8.1,634716,16501785,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,83.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
Fargo,1996.0,98,8.1,617444,24611975,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,85.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7,2,1,0
Before Sunrise,1995.0,101,8.1,272291,5535405,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,77.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
Trois couleurs: Rouge,1994.0,99,8.1,90729,4043686,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0,0
Chung Hing sam lam,1994.0,102,8.1,63122,600200,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,77.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Jurassic Park,1993.0,127,8.1,867615,402453882,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,68.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,3,0,0
In the Name of the Father,1993.0,133,8.1,156842,25010410,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,84.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,0,1,0
Dead Poets Society,1989.0,128,8.1,425457,95860116,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,79.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,1,0
Stand by Me,1986.0,89,8.1,363401,52287414,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,75.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
Platoon,1986.0,120,8.1,381222,138530565,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,92.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8,4,1,1
"Paris, Texas",1984.0,145,8.1,91188,2181987,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,78.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Kaze no tani no Naushika,1984.0,117,8.1,150924,495770,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,86.0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
The Thing,1982.0,109,8.1,371271,13782838,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur,57.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,0,0,0,0
Pink Floyd: The Wall,1982.0,95,8.1,76081,22244207,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,47.0,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0
Fanny och Alexander,1982.0,188,8.1,57784,4971340,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,100.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Blade Runner,1982.0,117,8.1,693827,32868943,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,84.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,0,0,0
Life of Brian,1979.0,94,8.1,367250,20045115,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,77.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
The Deer Hunter,1978.0,183,8.1,311361,48979328,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,86.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9,5,1,1
Rocky,1976.0,120,8.1,518546,117235247,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,70.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,3,1,1
Chinatown,1974.0,130,8.1,294230,29000000,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,92.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,11,1,1,0
Paper Moon,1973.0,102,8.1,42285,30933743,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,77.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,0,0
Cool Hand Luke,1967.0,127,8.1,161984,16217773,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,92.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,0,0
What Ever Happened to Baby Jane?,1962.0,134,8.1,50058,4050000,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,75.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,5,1,0,0
Ben-Hur,1959.0,212,8.1,219466,74700000,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,90.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12,11,1,1
The Bridge on the River Kwai,1957.0,161,8.1,203463,44908000,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,87.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8,7,1,1
On the Waterfront,1954.0,108,8.1,142107,9600000,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,91.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12,8,1,1
Ace in the Hole,1951.0,111,8.1,31568,3969893,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,72.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
The Third Man,1949.0,104,8.1,158731,449191,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,97.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,3,1,0,0
Rebecca,1940.0,130,8.1,123942,4360000,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,86.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,11,2,1,1
Mr. Smith Goes to Washington,1939.0,129,8.1,107017,9600000,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold,73.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,1,1,0
Gone with the Wind,1939.0,238,8.1,290074,198676459,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,97.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,15,10,1,1
It Happened One Night,1934.0,105,8.1,94016,4360000,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,87.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5,5,1,1
La La Land,2016.0,128,8.0,505918,151101803,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,94.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,14,6,1,0
Lion,2016.0,118,8.0,213970,51739495,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,69.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0,1,0
The Martian,2015.0,144,8.0,760094,228433663,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,80.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7,0,1,0
Zootopia,2016.0,108,8.0,434143,341268248,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,78.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0
Kaguyahime no monogatari,2013.0,137,8.0,38746,1506975,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Isao Takahata,Chloë Grace Moretz,James Caan,Mary Steenburgen,James Marsden,89.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Wonder,2017.0,113,8.0,141923,132422809,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,66.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0
Gully Boy,2019.0,154,8.0,31886,5566534,A coming-of-age story based on the lives of street rappers in Mumbai.,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,65.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0,0,0,0
Short Term 12,2013.0,96,8.0,81770,1010414,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,82.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Serbuan maut 2: Berandal,2014.0,150,8.0,114316,2625803,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,71.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0
The Imitation Game,2014.0,114,8.0,685201,91125683,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,73.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8,1,1,0
Guardians of the Galaxy,2014.0,121,8.0,1043455,333176600,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,76.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,0,0
Blade Runner 2049,2017.0,164,8.0,461823,92054159,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,81.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5,2,0,0
Her,2013.0,126,8.0,540772,25568251,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,90.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,5,1,1,0
Bohemian Rhapsody,2018.0,134,8.0,450349,216428042,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,49.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5,4,1,0
The Revenant,2015.0,156,8.0,705589,183637894,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,76.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,3,1,0
The Perks of Being a Wallflower,2012.0,103,8.0,462252,17738570,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,67.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0
The King's Speech,2010.0,118,8.0,639603,138797449,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,88.0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12,4,1,1
The Help,2011.0,146,8.0,428521,169708112,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,62.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1,1,0
Deadpool,2016.0,108,8.0,902669,363070709,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,65.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Darbareye Elly,2009.0,119,8.0,45803,106662,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i,87.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0
My Name Is Khan,2010.0,165,8.0,98575,4018695,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,50.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
Slumdog Millionaire,2008.0,120,8.0,798882,141319928,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,84.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10,8,1,1
Black Swan,2010.0,108,8.0,699673,106954678,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,79.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5,1,1,0
Tropa de Elite,2007.0,115,8.0,98097,8060,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,33.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0
The Avengers,2012.0,143,8.0,1260806,623279547,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,69.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0
